"Operon_ID","Gene","Product"
156,"HCP21_00023250","Protein of unknown function (DUF1222)."
156,"HCP21_00023340","hypothetical protein"
156,"HCP21_00023370","Glycosyl hydrolases family 38 N-terminal domain."
156,"HCP21_00023460","Glycosyl hydrolases family 38 N-terminal domain."
157,"HCP21_00023510","RNA dependent RNA polymerase."
158,"HCP21_00023540","hypothetical protein"
158,"HCP21_00023830","FOG: GGDEF domain"
158,"HCP21_00023850","Predicted peptidase"
158,"HCP21_00024000","Histidine acid phosphatase."
158,"HCP21_00024030","Beige/BEACH domain."
158,"HCP21_00024110","Tubulin C-terminal domain."
158,"HCP21_00024190","hypothetical protein"
158,"HCP21_00024210","hypothetical protein"
158,"HCP21_00024320","hypothetical protein"
158,"HCP21_00024410","Ubiquitin family."
158,"HCP21_00024430","Uncharacterized flavoproteins"
158,"HCP21_00024570","Protein kinase domain."
158,"HCP21_00024640","Molecular chaperone"
159,"HCP21_00024690","Tubulin"
159,"HCP21_00024790","hypothetical protein"
160,"HCP21_00024820","Glycerol kinase"
160,"HCP21_00025000","hypothetical protein"
160,"HCP21_00025010","hypothetical protein"
160,"HCP21_00025040","hypothetical protein"
160,"HCP21_00025070","hypothetical protein"
161,"HCP21_00025080","hypothetical protein"
162,"HCP21_00025090","hypothetical protein"
162,"HCP21_00025120","hypothetical protein"
162,"HCP21_00025160","hypothetical protein"
163,"HCP21_00025200","hypothetical protein"
164,"HCP21_00025280","ABC-type multidrug transport system, ATPase and permease components"
164,"HCP21_00025350","Alpha-glucosidases, family 31 of glycosyl hydrolases"
164,"HCP21_00025430","Collagenase and related proteases"
165,"HCP21_00025570","hypothetical protein"
166,"HCP21_00025620","23S"
166,"HCP21_00025680","hypothetical protein"
167,"HCP21_00025890","hypothetical protein"
168,"HCP21_00025910","Serine/threonine protein kinase"
169,"HCP21_00025940","hypothetical protein"
170,"HCP21_00026120","23S"
170,"HCP21_00026150","DnaJ-class molecular chaperone with C-terminal Zn finger domain"
171,"HCP21_00026410","hypothetical protein"
171,"HCP21_00026480","hypothetical protein"
172,"HCP21_00026490","hypothetical protein"
